Eil. Nr.,Adresas,Plotas,Patalpų charakteristika,Nuomininkas,Galioja_nuo,Galioja_iki,"Nuomos Mokestis, Eur/ mėn.","Parama, Eur/ metus",Seniūnija,Paskirtis,Tipas
191,Šeškinės g. 24,13.88,4 aukštas,O. Šachrai įmonė,2013-11-24,2018-11-24,241.2,,Šeškinės,Komercinei (prekybos ir paslaugų veiklai),Nuoma
192,Šeškinės g. 30A,125.52,1-o aukšto pastatas,"UAB ""ŠILĖJA""",2012-01-25,2017-01-25,1090.59,,Šeškinės,Komercinei (prekybos ir paslaugų veiklai),Nuoma
193,Šopeno g. 3,1687.61,"1, 2, 3, 4 aukštai ir mansarda","UAB ""Sertona""",2014-11-01,2019-04-23,1026.41,,Senamiesčio,Komercinei (prekybos ir paslaugų veiklai),Nuoma
194,Šventaragio (Odminių) skveras,13.97,spaudos kioskas,"UAB ""Reitan Convenience Lithuania""",2015-03-17,2020-03-17,283.17,,Senamiesčio,Komercinei (prekybos ir paslaugų veiklai),Nuoma
195,Šventaragio g. 2,14.9,vieta lieto metalo paviljone,"UAB ""Reitan Convenience Lithuania""",2008-12-01,2018-12-01,345.23,,Senamiesčio,Komercinei (prekybos ir paslaugų veiklai),Nuoma
196,Tiškevičiaus g. 1,46.92,1 aukštas,Akcinė bendrovė Lietuvos paštas,2012-06-01,2017-06-01,81.53,,Panerių,Komercinei (prekybos ir paslaugų veiklai),Nuoma
197,Universiteto g. 2,503.19,"rūsys, 1, 2 aukštas","IĮ ""Periodont""",2015-03-16,2017-11.05,2837.99,,Senamiesčio,Komercinei (prekybos ir paslaugų veiklai),Nuoma
198,Universiteto g. 2,707.49,"rūsys, 1, 2 aukštas","UAB ""Universiteto vaistinė""",2015-03-16,2018-08.31,4103.44,,Senamiesčio,Komercinei (prekybos ir paslaugų veiklai),Nuoma
199,Vienuolio g.  ,27,lieto metalo paviljonas,"Uždaroji akcinė bendrovė ""Reitan Convenience Lithuania""",2015-07-19,2020-07-19,625.59,,Naujamiesčio,Komercinei (prekybos ir paslaugų veiklai),Nuoma
200,Vilniaus g. 20,84.96,1 aukštas,"UAB ""Batas""",2006-04-01,2016-04-02,639.76,,Senamiesčio,Komercinei (prekybos ir paslaugų veiklai),Nuoma
201,Vilniaus g. 22,288.84,"rūsys, 1 aukštas","UAB ""Imperatoriaus rūmai""",2013-06-17,2018-06-17,5437.5,,Senamiesčio,Komercinei (prekybos ir paslaugų veiklai),Nuoma
202,Vilniaus g. 22,30,1 aukštas,"UAB ""Šimtas obuolių""",2012-09-14,2017-05-08,456.33,,Senamiesčio,Komercinei (prekybos ir paslaugų veiklai),Nuoma
203,Vilniaus g. 22,51.33,1 aukštas,"UAB ""Reitan Cenvenience Lithuania""",2014-12-01,2019-01-05,891.97,,Senamiesčio,Komercinei (prekybos ir paslaugų veiklai),Nuoma
204,Vilniaus g. 39,29.4,4 aukštas,"mažoji bendrija ""Horos""",2013-10-10,2018-10-10,171.32,,Senamiesčio,Komercinei (prekybos ir paslaugų veiklai),Nuoma
205,Vilniaus g. 39,16.01,4 aukštas,Dalia Vyčinienė,2013-06-02,2018-06-02,86.89,,Senamiesčio,Komercinei (prekybos ir paslaugų veiklai),Nuoma
206,Vilniaus g. 39,399.73,3 aukštas,"Nidos Rutkienės individuali galerija ""Vartai""",2015-01-03,2025-01-03,151.9,,Senamiesčio,Komercinei (prekybos ir paslaugų veiklai),Nuoma
207,Vilniaus g. 39,106.55,1 aukštas,"UAB ""BLISS fashion""",2015-05-17,2020-05-17,1129.43,,Senamiesčio,Komercinei (prekybos ir paslaugų veiklai),Nuoma
208,Vilniaus g. 39,168.16,1 aukštas,"UAB ""Delta Management Solutions""",2010-10-01,2015-10-01,1266.27,,Senamiesčio,Komercinei (prekybos ir paslaugų veiklai),Nuoma
209,Vilniaus g. 39,81.16,1 aukštas,"UAB ""Trys bokalai""",2014-11-01,2016-03-15,1480.85,,Senamiesčio,Komercinei (prekybos ir paslaugų veiklai),Nuoma
210,Vilniaus g. 39,66.13,2 aukštas,"UAB ""Trys bokalai""",2014-11-01,2016-05-16,995.93,,Senamiesčio,Komercinei (prekybos ir paslaugų veiklai),Nuoma
211,Vytenio g. 59,61.04,1 aukštas,"UAB ""Apotheca vaistinė""",2011-06-01,2018-05-31,707.14,,Naujamiesčio,Komercinei (prekybos ir paslaugų veiklai),Nuoma
212,Vokiečių g. 6,788.65,"rūsys, 1 aukštas","UAB ""Šeimininkas""",2013-02-01,2026-03-15,813.13,,Senamiesčio,Komercinei (prekybos ir paslaugų veiklai),Nuoma
213,Žemynos g. 23-20,61.4,1 aukštas,Akcinė bendrovė Lietuvos pašto filialas Vilniaus apskrities centrinis paštas,2005-01-01,2010-01-01,160.04,,Pašilaičių,Komercinei (prekybos ir paslaugų veiklai),Nuoma
214,Žirmūnų g. 2-101,200.16,1 aukštas,"UAB ""Vagos prekyba""",2014-12-02,2019-12-02,1200.96,,Žirmūnų,Komercinei (prekybos ir paslaugų veiklai),Nuoma
215,Žirnių g.  ,11620.64,automobilių stovėjimo aikštelė,"UAB ""FE REAL ESTATE""",2014-11-24,2113-11-24,289.62,,Naujininkų,Komercinei (prekybos ir paslaugų veiklai),Nuoma
216,Žvirkos g. 2,29.65,1 aukštas,"Mažoji bendrija ""Artūras ir partneriai""",2014-11-17,2019-11-17,145.88,,Naujininkų,Komercinei (prekybos ir paslaugų veiklai),Nuoma
217,Antakalnio g. 17,8338.13,"14 pastatų, kiemo statiniai, fekalinės kanalizacijos ir šalto vandentiekio vamzdynai, šilumos trasa",Viešoji įstaiga Vilniaus technologijų ir meno centras,2015-07-01,2040-07-01,2418.06,294918,Antakalnio,Kultūros veiklai,Nuoma
218,Ašmenos g. 8,163.75,2 aukštas,Viešoji įstaiga Teatras ATVIRAS RATAS,2010-02-01,2020-02-01,49.13,10886,Senamiesčio,Kultūros veiklai,Nuoma
219,Ašmenos g. 8,100.97,2 aukštas,"viešoji įstaiga ""Vilniaus Miesto Opera""",2015-01-01,2019-12-31,30.41,6707,Senamiesčio,Kultūros veiklai,Nuoma
220,Basanavičiaus g. 22,30.75,1 aukštas,VšĮ Evaldo Janso studija,2014-11-01,2018-06-17,45.51,,Naujamiesčio,Kultūros veiklai,Nuoma
221,Bernardinų g. 6,475.8,"2 aukštas, pastogė",Sigitas Staniūnas,2010-03-01,2020-03-01,137.8,20800,Senamiesčio,Kultūros veiklai,Nuoma
222,Bokšto g. 9,349.18,1 ir 2 aukštai,"Viešoji įstaiga ""Kulinarinio paveldo muziejus""",2014-05-23,2034-05-22,101.13,30127,Senamiesčio,Kultūros veiklai,Nuoma
223,Goštauto g. 2,30,1 aukštas,"viešoji įstaiga ""Skalvijos"" kino centras",2013-08-12,2018-08-12,8.69,,Naujamiesčio,Kultūros veiklai,Nuoma
224,Goštauto g. 2,272.82,"1, 2 aukštai","Viešoji įstaiga ""Studija Kinema""",2012-02-17,2017-08-15,229.14,,Naujamiesčio,Kultūros veiklai,Nuoma
225,Goštauto g. 2,96.13,"1, 2 aukštai","UAB ""Ultra Nominum""",2010-05-04,2017-08-15,80.74,,Naujamiesčio,Kultūros veiklai,Nuoma
226,Goštauto g. 4,58.98,1 aukštas," Viešoji įstaiga ""Kino aljansas""",2011-08-16,2016-08-16,17.08,7375,Naujamiesčio,Kultūros veiklai,Nuoma
227,Išganytojo g. 2,73.41,1 aukštas,Rusų kultūros centras,2010-11-01,2015-11-01,21.26,13214,Senamiesčio,Kultūros veiklai,Nuoma
228,Malūnų g. 8,164.26,"1 aukštas, ūkinis pastatas",viešoji įstaiga Jono Meko vizualinių menų centras,2015-04-20,2025-04-20,49.28,,Senamiesčio,Kultūros veiklai,Nuoma
229,Meistrų g. 12C,34.8,kiemo statiniai,"UAB ""Vilniaus kino klasteris""",2012-01-23,2017-01-23,10.08,,Naujininkų,Kultūros veiklai,Nuoma
230,Meistrų g. 12C,1530.42,pastatas-sporto salė,"Viešoji įstaiga ""Cinerama""",2005-05-05,2021-05-05,443.24,,Naujininkų,Kultūros veiklai,Nuoma
231,Mėsinių g. 3,243.69,"rūsys, 1 aukštas, mansarda",Viešoji įstaiga Žydų kultūros ir informacijos centras,2015-08-01,2025-08-01,73.11,11856.75,Senamiesčio,Kultūros veiklai,Nuoma
232,Pamėnkalnio g. 23-51,43.19,pusrūsis,Juozas Marcinkevičius,2007-11-01,2017-11-02,92.94,,Naujamiesčio,Kultūros veiklai,Nuoma
233,Stanevičiaus g. 24,252.34,rūsys-techninės patalpos,"Viešoji Įstaiga ""RAGANIUKĖS TEATRAS""",2012-01-23,2017-01-23,73.81,,Fabijoniškių,Kultūros veiklai,Nuoma
234,Stanevičiaus g. 24,439.18,"1, 2 aukštai","Viešoji Įstaiga ""RAGANIUKĖS TEATRAS""",2011-10-25,2016-10-25,127.2,13070,Fabijoniškių,Kultūros veiklai,Nuoma
235,Stiklių g. 4,134.65,rūsys,"viešoji įstaiga ""Kūrybos laboratorija""",2015-05-01,2025-05-01,40.4,8483,Senamiesčio,Kultūros veiklai,Nuoma
236,"Stiklių g. 6,8",88.03,"2, 3 aukštai",Viešoji įstaiga Lietuvos tautinių mažumų folkloro ir etnografijos centras,2015-01-26,2020-01-26,26.41,15962,Senamiesčio,Kultūros veiklai,Nuoma
237,"Stiklių g. 6,8",124.13,2 aukštas,"Vilniaus rusų muzikos draugija ""Rusų klasika""",2011-02-01,2016-01-31,35.95,22508,Senamiesčio,Kultūros veiklai,Nuoma
238,Šiltadaržio g. 2,142.52,"1, 2 aukštai","Valstybinė įmonė ""Vilniaus pilių direkcija""",2012-08-01,2017-07-31,412.77,,Senamiesčio,Kultūros veiklai,Nuoma
239,Šiltadaržio g. 2,229.05,1 aukštas,Viešoji įstaiga Žaislų muziejus,2012-03-01,2017-03-01,66.34,18190,Senamiesčio,Kultūros veiklai,Nuoma
240,Šiltadaržio g. 2,145.67,2 aukštas,Vilniaus pilių valstybinio kultūrinio rezervato direkcija,2014-05-01,2017-07-31,1157.73,,Senamiesčio,Kultūros veiklai,Nuoma
241,Šiltadaržio g. 2,124.09,2 aukštas ir mansarda, viešoji įstaiga KINO PAVASARIS,2013-11-04,2018-11-04,35.94,5424,Senamiesčio,Kultūros veiklai,Nuoma
242,Šiltadaržio g. 6,2910.05,"3 a. ir 1 a. pastatai, sandėlis, pagalbinis pastatas","VšĮ ""Menų spaustuvė""",2011-01-01,2031-01-01,842.81,83111,Senamiesčio,Kultūros veiklai,Nuoma
243,Užupio g. 2,655.98,2-jų aukštų pastatas,"VšĮ ""Užupio meno inkubatorius""",2014-08-01,2029-12-31,189.98,106270,Senamiesčio,Kultūros veiklai,Nuoma
244,Vilniaus g. 39,91.45,2 aukštas,"Kultūros ir meno projektų asociacija ""G&T Promotion""",2014-01-01,2016-01-01,289.75,,Senamiesčio,Kultūros veiklai,Nuoma
245,Vytenio g. 6,2549.48,"Rūsys, 1, 2 ir 3 aukštai, antresolė","VšĮ teatras ""Vilniaus klasika""",2014-12-01,2024-12-01,739.33,128188,Naujamiesčio,Kultūros veiklai,Nuoma
246,Žalioji a. 2A,2294.44,2 aukštų pastatas,"Viešoji įstaiga ""Trakų Vokės dvaro sodyba""",2014-05-20,2019-05-20,664.52,,Panerių,Kultūros veiklai,Nuoma
247,Žalioji a. 3,520.1,"1, 2 aukštai","viešoji įstaiga ""Trakų Vokės dvaro sodyba""",2014-03-10,2024-03-10,150.63,,Panerių,Kultūros veiklai,Nuoma
248,Gerosios Viltes g. 1A,240.8,"rūsys, 1 aukštas",Lietuvos evangelikų reformatų bažnyčios-Unitas Lithuaniae-sinodas,2012-02-15,2017-02-15,69.74,11212,Vilkpėdės,Religinei veiklai,Nuoma
249,Giedraičių g. 24,82.05,1-o aukšto pastatas,"Rytų sentikių cerkvės, neturinčios dvasinės hierarchijos, Vilniaus sentikių religinė bendruomenė",2015-04-28,2020-04-28,23.79,6479,Šnipiškių,Religinei veiklai,Nuoma
250,Juozapavičiaus g. 11A,54.02,pastatas 1-o aukšto,Armėnų apaštališkosios bažnyčios Vilniaus Šv. Vardano religinė bendruomenė,2011-10-25,2021-10-25,15.65,2815,Šnipiškių,Religinei veiklai,Nuoma
251,Raugyklos g. 23-1,69.5,"1 aukštas, rūsys",Vilniaus m. Krišnos sąmonės religinė bendruomenė,2014-01-06,2019-01-05,140.9,,Senamiesčio,Religinei veiklai,Nuoma
252,Aušros Vartų g. 9,70.19,1 aukštas,"UAB ""Amber""",2011-03-01,2016-03-01,101.64,,Senamiesčio,Dailiesiems amatams,Nuoma
253,Basanavičiaus g. 1,145.65,"1 aukštas, rūsys","VšĮ ""Auksakalių gildija""",2015-08-01,2020-08-01,43.7,23351,Senamiesčio,Dailiesiems amatams,Nuoma
254,Basanavičiaus g. 16,43.02,pusrūsis,"VšĮ ""Menas sau""",2013-11-28,2017-08-01,12.46,2272,Naujamiesčio,Dailiesiems amatams,Nuoma
255,Basanavičiaus g. 29,38.58,pusrūsis,Navickas Klaidas,2012-08-01,2017-08-01,11.17,1959,Naujamiesčio,Dailiesiems amatams,Nuoma
256,Didžioji g. 20,137.43,rūsys,"UAB ""Jūratės stiliaus idėjų grupė""",2005-12-12,2015-12-12,39.8,16492,Senamiesčio,Dailiesiems amatams,Nuoma
257,Mėsinių g. 7,56.96,rūsys,"viešoji įstaiga Amatų ir meno centras ""Nauja sirena""",2013-04-01,2018-03-31,16.5,3418,Senamiesčio,Dailiesiems amatams,Nuoma
258,Mėsinių g. 9,121.62,"rūsys, 1 aukštas",VšĮ Amatų ir menų centras „Nauja sirena“,2005-12-06,2020-12-06,35.22,14376,Senamiesčio,Dailiesiems amatams,Nuoma
259,Naugarduko g. 20,59.53,pusrūsis,"Viešoji įstaiga ""Juodosios keramikos centras""",2006-12-20,2016-12-20,17.24,1950,Naujamiesčio,Dailiesiems amatams,Nuoma
260,Pilies g. 36,74.43,1 aukštas,"UAB ""Sauluva""",2007-04-16,2017-09-02,21.56,17863,Senamiesčio,Dailiesiems amatams,Nuoma
261,Savičiaus g. 8,173.03,"rūsys, 1 aukštas",Vilniaus dailiųjų amatų asociacija,2014-07-14,2019-07-14,50.11,20764,Senamiesčio,Dailiesiems amatams,Nuoma
262,Skapo g. 3-34,35.59,1 aukštas,"Viešoji įstaiga ""AMATŲ GILDIJA""",2006-07-15,2016-07-15,10.31,2541,Senamiesčio,Dailiesiems amatams,Nuoma
263,Stiklių g. 20-7,85.11,1 aukštas,"VšĮ ""Dariaus papuošalai""",2014-02-21,2019-02-21,24.65,15320,Senamiesčio,Dailiesiems amatams,Nuoma
264,"Stiklių g. 6,8",216.64,"rūsys, 1 aukštas","Viešoji įstaiga ""Vitražo manufaktūra""",2013-05-01,2018-04-30,62.74,26000,Senamiesčio,Dailiesiems amatams,Nuoma
265,Šv. Mykolo g. 12,112.74,"1 aukštas, rūsys","UAB ""Gintaro galerija""",2003-07-14,2018-07-14,32.65,20767,Senamiesčio,Dailiesiems amatams,Nuoma
266,Šv. Mykolo g. 8,20.06,1 aukštas,"UAB ""Gintaro galerija""",2015-01-01,2019-12-31,69.72,,Senamiesčio,Dailiesiems amatams,Nuoma
267,Užupio g. 26,37.1,1 aukštas,"UAB ""Vilniaus kalviai""",2002-08-01,2017-08-01,10.74,6678,Senamiesčio,Dailiesiems amatams,Nuoma
268,Užupio g. 9-20,66.25,1 aukštas,Viešoji įstaiga Vilniaus puodžių cechas,2012-10-25,2022-10-25,19.19,11925,Senamiesčio,Dailiesiems amatams,Nuoma
269,Agrastų g. 16,141.46,2 aukštas,VšĮ Centro poliklinika,2014-04-15,2024-04-15,,,Panerių,Gydymo paskirčiai,Panauda
270,Antakalnio g. 124,21153.23,"patalpos 11 pastatų, kiemo statiniai, inžineriniai tinklai",VšĮ Vilniaus miesto klinikinė ligoninė,2013-01-02,2018-01-02,,,Antakalnio,Gydymo paskirčiai,Panauda
271,Antakalnio g. 124,116.95,patalpos,Viešoji įstaiga Greitosios medicinos pagalbos stotis,2013-04-01,2017-01-31,,,Antakalnio,Gydymo paskirčiai,Panauda
272,Antakalnio g. 57,30559.56,"devyni 1 aukšto pastatai, slėptuvės pastatas, 3 aukštų pastatas, kiti statiniai, patalpos 5 aukštų pastate",VšĮ Vilniaus miesto klinikinė ligoninė,2012-05-02,2027-05-02,,,Antakalnio,Gydymo paskirčiai,Panauda
273,Antakalnio g. 59,12613.25,patalpos 2 ir 10 aukštų pastuose,VšĮ Antakalnio poliklinika,,2017-12-10,,,Antakalnio,Gydymo paskirčiai,Panauda
274,Architektų g. 17,1038.75,"rūsys, 1 ir 2 aukštai","VšĮ ""Lazdynų poliklinika""",,2017-12-10,,,Lazdynų,Gydymo paskirčiai,Panauda
275,Asanavičiūtės g. 27A,102.06,1 aukštas,Viešoji įstaiga Greitosios pagalbos medicinos stotis,2011-08-30,2016-08-31,,,Karoliniškių,Gydymo paskirčiai,Panauda
276,Asanavičiūtės g. 27A,11563,"2 pastatai ir patalpos, automobilių stovėjimo aikštelė",viešoji įstaiga Karoliniškių poliklinika,2009-12-24,2017-12-10,,,Karoliniškių,Gydymo paskirčiai,Panauda
277,Dariaus ir Girėno g. 18,30.25,1 aukštas,VšĮ Greitosios pagalbos medicinos stotis,2012-04-27,2017-04-27,,,Naujinininkų ,Gydymo paskirčiai,Panauda
278,Dariaus ir Girėno g. 18,4328.98,"patalpos 4 aukštų pastate, garažas",VšĮ Naujininkų poliklinika,2012-11-01,2017-10-31,,,Naujinininkų ,Gydymo paskirčiai,Panauda
279,Erfurto g. 15,1717.55,3 aukštų pastatas,"VšĮ ""Lazdynų poliklinika""",,,,,Lazdynų,Gydymo paskirčiai,Panauda
280,Gerosios Vilties g. 1A,1442.68,"rūsys, 1, 2 aukštas",VšĮ Centro poliklinika,2014-04-15,2024-04-15,,,Vilkpėdės,Gydymo paskirčiai,Panauda
281,"Grigiškės, Mokyklos g. 10",25.44,patalpos pastate,VšĮ Greitosios pagalbos medicinos stotis,2012-04-27,2017-04-27,,,Verkių,Gydymo paskirčiai,Panauda
282,"Grigiškės, Mokyklos g. 10",2762.02,4 pastatai,VšĮ Grigiškių pirminės sveikatos priežiūros centras,2012-07-10,2022-07-10,,,Verkių,Gydymo paskirčiai,Panauda
283,Kalinausko g. 4,2457.52,patalpos pastate,VšĮ Centro poliklinika,2014-04-15,2024-04-15,,,Senamiesčio,Gydymo paskirčiai,Panauda
284,Karaliaučiaus g. 11,616.12,2 aukštų pastatas,"Viešoji įstaiga ""Karoliniškių poliklinika""",2013-02-15,2018-02-15,,,Pilaitės,Gydymo paskirčiai,Panauda
285,Kauno g. 37,759.87,2 aukštų pastatas,VšĮ Vilniaus odos ir veneros ligų centras,2014-05-01,2019-09-02,,,Naujamiesčio,Gydymo paskirčiai,Panauda
286,Kauno g. 7,8288.99,7 pastatai ir kiti statiniai,VšĮ Mykolo Marcinkevičiaus ligoninė,,2017-12-10,,,Naujamiesčio,Gydymo paskirčiai,Panauda
287,Klinikų g. 2,7233.72,"4 aukštų pastatas, automobilių stovėjimo aikštelė",viešoji įstaiga Šv. Roko ligoninė,2012-04-15,2027-04-15,,,Antakalnio,Gydymo paskirčiai,Panauda
288,Pylimo g. 3,5580.71,patalpos pastate ir transformatorinė,VšĮ Centro poliklinika,2014-04-15,2024-04-15,,,Naujamiesčio,Gydymo paskirčiai,Panauda
289,Pylimo g. 56,2956.92,4 aukštų pastatas,VšĮ Centro poliklinika,2014-04-15,2024-04-15,,,Senamiesčio,Gydymo paskirčiai,Panauda
290,Sirokomlės g. 8,4269.25,"patalpos 4 aukštų pastate, 2 aukštų pastatas",VšĮ Naujosios Vilnios poliklinika,,2017-12-10,,,Naujosios Vilnios,Gydymo paskirčiai,Panauda
291,Sirokomlės g. 8,39.27,1 aukštas,Viešoji įstaiga Greitosios pagalbos medicinos stotis,2011-08-30,2016-08-31,,,Naujosios Vilnios,Gydymo paskirčiai,Panauda
292,Šeškinės g. 24,14020.27,patalpos,VšĮ Šeškinės poliklinika,,2017-12-10,,,Šeškinės,Gydymo paskirčiai,Panauda
293,Šeškinės g. 24,88.13,1 aukštas,VšĮ Greitosios pagalbos medicinos stotis,2012-04-27,2017-04-27,,,Šeškinės,Gydymo paskirčiai,Panauda
294,Vasaros g. 5,6257.37,20 pastatų,VšĮ Vilniaus miesto psichikos sveikatos centras,,2017-12-10,,,Antakalnio,Gydymo paskirčiai,Panauda
295,Vilkpėdės g. 3,6248.73,5 pastatai ir kiemo statiniai,VšĮ Vilkpėdės ligoninė,2014-08-14,2024-08-14,,,Vilkpėdės,Gydymo paskirčiai,Panauda
296,Vytenio g. 59,2941.49,patalpos keturių aukštų pastate,VšĮ Centro poliklinika,2014-04-15,2024-04-15,,,Naujamiesčio,Gydymo paskirčiai,Panauda
297,Vytenio g. 59,76.04,1 aukštas,VšĮ Vilniaus odos ir veneros ligų centras,2014-05-01,2019-09-02,,,Naujamiesčio,Gydymo paskirčiai,Panauda
298,Žalioji a. 3,114.65,1 aukštas,VIEŠOJI ĮSTAIGA CENTRO POLIKLINIKA,2006-02-02,2021-02-03,,,Panerių,Gydymo paskirčiai,Panauda
299,Žvirkos g. 2,83.84,1 aukštas,viešoji įstaiga Naujininkų poliklinika,2013-12-16,2018-12-16,,,Naujininkų,Gydymo paskirčiai,Panauda
300,Žvirkos g. 4A,84.33,1 aukšto pastatas,viešoji įstaiga Naujininkų poliklinika,2013-12-16,2018-12-16,,,Naujininkų,Gydymo paskirčiai,Panauda
301,Agrastų g. 16,142.69,2 aukštas,Vilniaus miesto socialinės paramos centras,2014-05-01,2019-04-30,,,Panerių,Socialinių paslaugų teikimui,Panauda
302,Antakalnio g. 17,35.21,1 aukštas,"VISUOMENINIAI PAGALBOS NAMAI ""SALVE""",2014-05-30,2019-02-15,,1245.37,Antakalnio,Socialinių paslaugų teikimui,Panauda
303,Antakalnio g. 17,129.87,1 aukštas,Biudžetinė įstaiga Vilniaus miesto socialinės paramos centras,2012-11-02,2017-11-02,,,Antakalnio,Socialinių paslaugų teikimui,Panauda
304,Asanavičiūtės g. 20,42.82,1 aukštas,Socialinės paramos centras,2011-10-26,2016-10-26,,,Karoliniškių,Socialinių paslaugų teikimui,Panauda
305,Druskio g. 5,73.1,cokolinis aukštas,"Vilniaus miesto žmonių su fizine negalia sporto klubas ""Feniksas""",2014-12-24,2019-12-24,,3350.9,Karoliniškių,Socialinių paslaugų teikimui,Panauda
306,Džiaugsmo g. 45,317.54,2 aukštų pastatas ir ūkio pastatas,Lietuvos samariečių bendrija,,neterminuota,,13486,Naujosios Vilnios,Socialinių paslaugų teikimui,Panauda
307,Erfurto g. 29,87.51,1 aukštas,Savivaldybės biudžetinė įstaiga Socialinės paramos centras,2011-12-23,2019-03-31,,,Lazdynų,Socialinių paslaugų teikimui,Panauda
308,Gėlių g. 7,483.73,"rūsys, 1 aukštas",Lietuvos žmonių su negalia sąjunga,2006-01-01,2017-01-01,,30883.34,Senamiesčio,Socialinių paslaugų teikimui,Panauda
309,Gerovės g. 1,118.95,"rūsys, 1, 2 aukštai",Savivaldybės biudžetinė įstaiga Vilniaus miesto socialinės paramos centras,2009-07-01,2019-03-31,,,Naujosios Vilnios,Socialinių paslaugų teikimui,Panauda
310,Gerovės g. 1,315.43,2 aukštas,Savivaldybės biudžetinė įstaiga Vilniaus miesto savivaldybės centrinė biblioteka,2014-07-01,2024-07-01,,,Naujosios Vilnios,Socialinių paslaugų teikimui,Panauda
311,Gerovės g. 29,211.52,2 aukštas,"Labdaros ir paramos fondas ""Ekklesia""",2010-12-22,2015-12-22,,7909.81,Naujosios Vilnios,Socialinių paslaugų teikimui,Panauda
312,"Grigiškių m., Vilniaus g. 6",45.15,"1, 2 aukštai",Vilniaus miesto socialinės paramos centras,2014-02-26,2019-02-25,,,Senamiesčio,Socialinių paslaugų teikimui,Panauda
313,Grybo g. 29,1734.99,"2 aukštų pastatas, skalbykla, kiemo statiniai (tvora, baseinas, kiemo aikštelė)",Vilniaus 3-ieji vaikų globos namai (BĮ Vilniaus Antakalnio vaikų socialinės globos namai),2011-06-15,2016-06-15,,,Antakalnio,Socialinių paslaugų teikimui,Panauda
314,Jogailos g. 12,91.54,1 aukštas,"Labdaros ir paramos fondas ""Auginame ateitį""",2013-03-11,2018-03-11,,23243.45,Senamiesčio,Socialinių paslaugų teikimui,Panauda
315,Juozapavičiaus g. 10A,115.67,3 aukštas,Vilniaus miesto socialinės paramos centras,2014-02-01,2024-02-01,,,Šnipiškių,Socialinių paslaugų teikimui,Panauda
316,Kalvarijų g. 156,13.27,2 aukštas,Savivaldybės biudžetinė įstaiga Socialinės paramos centras,2012-11-25,2017-11-25,,,Šnipiškių,Socialinių paslaugų teikimui,Panauda
317,Kauno g. 3,168.01,"4, 5 aukštai",Vilniaus miesto socialinės paramos centras,2014-06-06,2019-06-06,,,Senamiesčio,Socialinių paslaugų teikimui,Panauda
318,Kauno g. 3,1105.75,"rūsys, 1, 2, 4, 5 aukštai",Socialinės paramos centras,2010-12-01,2015-12-01,,,Senamiesčio,Socialinių paslaugų teikimui,Panauda
319,Kauno g. 4,89.42,1 aukštas,Vilniaus krašto žmonių su negalia sąjunga,2006-08-01,2016-08-01,,14481,Senamiesčio,Socialinių paslaugų teikimui,Panauda
320,Kojelavičiaus g. 127,1341.95,"2 aukštų pastatas, 1 aukšto pastatas, nuotekų šalinimo tinklai ir kiti inžineriniai statiniai",Valakampių socialinių paslaugų namai,2015-03-23,2020-07-01,,,Naujosios Vilnios,Socialinių paslaugų teikimui,Panauda
321,Kojelavičiaus g. 129,655.59,"2 aukštų pastatas, pastatas-garažas, kiti statiniai, vendentiekio ir nuotekų linijos",Biudžetinė įstaiga Vilniaus miesto krizių centras,2014-05-26,2020-07-01,,,Naujosios Vilnios,Socialinių paslaugų teikimui,Panauda
322,Kojelavičiaus g. 172,961.51,3 aukštų pastatas,Vilniaus m. savivaldybės Socialinės paramos centras,2014-08-01,2020-07-01,,,Naujosios Vilnios,Socialinių paslaugų teikimui,Panauda
323,Kojelavičiaus g. 50,636.25,"pastatas 2-jų aukštų, sandėlis, garažas",Vilniaus miesto nakvynės namai,1997-12-20,laikinai,,,Naujosios Vilnios,Socialinių paslaugų teikimui,Panauda
324,Lakštingalų g. 7,3204.77,"2-jų aukštų, du 1-o aukšto pastatai (57 kv. m), kiemo statiniai",Savivaldybės biudžetinė įstaiga VILNIAUS MIESTO VAIKŲ IR JAUNIMO PENSIONAS,2008-07-23,2023-07-23,,,Antakalnio,Socialinių paslaugų teikimui,Panauda
325,Lakštingalų g. 8,3188.41,2 aukštų pastatas,"specialiojo ugdymo centras ""Aidas""",,,,,Antakalnio,Socialinių paslaugų teikimui,Panauda
326,Lakštingalų g. 9,3195.18,"du 2 aukštų pastatai, kiemo statiniai (kiemo aikštelė, baseinas, tvora)","Vilniaus vaikų globos namai ""Gilė""",2011-06-15,2016-06-15,,,Antakalnio,Socialinių paslaugų teikimui,Panauda
327,Minties g. 1,1496.21,"2 aukštų pastatas, sandėlis, 2 ūkio pastatai, 2 pavėsinės, garažas, kiemo statiniai (tvira, aikštelė, baseinas)",Vilniaus 2-ieji vaikų globos namai (BĮ Vilniaus Minties vaikų socialinės globos namai),2011-06-15,2016-06-15,,,Žirmūnų,Socialinių paslaugų teikimui,Panauda
328,Odminių g. 3,48.24,2 aukštas,Vilniaus miesto socialinės paramos centras,2015-02-03,2020-02-03,,,Senamiesčio,Socialinių paslaugų teikimui,Panauda
329,Paberžės g. 6A,222.56,pastatas 1-o aukšto,"Socialinės rūpybos, globos ir pašalpų centras",1997-04-15,laikinai,,,Šeškinės,Socialinių paslaugų teikimui,Panauda
