PASKIRTIS,TEISĖ,GYVENVIETĖ,ADRESAS,OBJEKTAS,ĮMKODAS,PAVADINIMAS
Kita,Nuosavybės teisė,Vilniaus m.,Vingrių g. 11A  ,Siurblinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Titnago g. 34  ,Siurblinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Šiltnamių g. 20A  ,Siurblinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,A. Strazdelio g. 1  ,Siurblinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Didlaukio g. 84A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Didlaukio g. 31A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Didlaukio g. 14A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Didlaukio g. 64A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Didlaukio g. 59A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Dariaus Gerbutavičiaus g. 5  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Rolando Jankausko g. 9  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Virginijaus Druskio g. 8  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Loretos Asanavičiūtės g. 10  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Apolinaro Juozo Povilaičio g. 8A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Sausio 13-osios g. 9A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Parko g. 31A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Parko g. 40  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Brolių g. 10  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Brolių g. 1E  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Tyzenhauzų g. 12A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Telšių g. 3B  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Stadiono g. 4A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Kalvarijų g. 156A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Dzūkų g. 21B  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Tverečiaus g. 6A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Antakalnio g. 63A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Kalvarijų g. 170B  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Varpų g. 8B  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Olandų g. 52A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Darbininkų g. 21B  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Linksmoji g. 63A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
