PASKIRTIS,TEISĖ,GYVENVIETĖ,ADRESAS,OBJEKTAS,ĮMKODAS,PAVADINIMAS
Garažų,Nuosavybės teisė,Vilniaus m.,Gunkliškių g. 11  ,Garažas (boksas),125873515,VIEŠOJI ĮSTAIGA CENTRO POLIKLINIKA
Negyvenamoji,Nuosavybės teisė,Vilniaus m.,Karklų g. 35  ,Buitinis pastatas,300809439,Viešoji įstaiga Vilniaus futbolo akademija
Negyvenamoji,Nuosavybės teisė,Vilniaus m.,Karklų g. 35  ,Buitinis pastatas,300809439,Viešoji įstaiga Vilniaus futbolo akademija
Gydymo,Nuosavybės teisė,Vilniaus m.,Vasaros g. 5  ,Ligoninė,224244940,Viešoji įstaiga Vilniaus miesto psichikos sveikatos centras
Administracinė,Nuosavybės teisė,Vilniaus m.,Vasaros g. 5  ,Administracinis,224244940,Viešoji įstaiga Vilniaus miesto psichikos sveikatos centras
Administracinė,Nuosavybės teisė,Vilniaus m.,Vasaros g. 5  ,Administracinis,224244940,Viešoji įstaiga Vilniaus miesto psichikos sveikatos centras
Administracinė,Nuosavybės teisė,Vilniaus m.,Pramonės g. 97  ,Administracinės patalpos,124625627,Viešoji įstaiga Vilnijos verslo inkubatorius
Administracinė,Nuosavybės teisė,Vilniaus m.,Pramonės g. 97  ,Administracinės patalpos,124625627,Viešoji įstaiga Vilnijos verslo inkubatorius
Administracinė,Nuosavybės teisė,Vilniaus m.,Pramonės g. 97  ,Administracinės patalpos,124625627,Viešoji įstaiga Vilnijos verslo inkubatorius
Mokslo,Nuosavybės teisė,Vilniaus m.,Mokslininkų g. 2A  ,Informacinių technologijų centras,126090582,Viešoji įstaiga Visorių informacinių technologijų parkas
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Igno Šimulionio g. 10  160B,butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,J. Basanavičiaus g. 16  ,Neįrengta palėpė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Virginijaus Druskio g. 6  145,butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Šilo g. 4  10,,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Administracinė,Savivaldybės nuosavybė,Vilniaus m.,Agrastų g. 16  ,Socialinės paramos centro kabinetai ir gydymo įstaiga,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Ukmergės g. 198  36,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,S. Moniuškos g. 7  ,Negyvenamos patalpos,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,S. Skapo g. 3  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Rudaminos g. 6  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Šv. Stepono g. 38  2,,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Mokslo,Nuosavybės teisė,Vilniaus m.,Pupinės g. 11  ,Mokykla,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Konstitucijos pr. 7A  ,Pagalbinės patalpos,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Minties g. 1  ,Ūkio pastatas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Minties g. 1  ,Garažas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Justiniškių g. 33  23,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
"Gamybos, pramonės",Savivaldybės nuosavybė,Vilniaus m.,Antakalnio g. 17  ,Dirbtuvės,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Rinktinės g. 28  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Baniškių g. 39  3,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Pylimo g. 43  1,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Pylimo g. 43  2,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Subačiaus g. 12  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Subačiaus g. 115A  53G,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Šv. Mykolo g. 8  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Nuosavybės teisė,Vilniaus m.,Pelesos g. 37  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Krokuvos g. 41  5,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Saracėnų g. 8  3A,butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gydymo,Savivaldybės nuosavybė,Vilniaus m.,Vytenio g. 59  ,Poliklinika,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gydymo,Savivaldybės nuosavybė,Vilniaus m.,Vytenio g. 59  ,Gydymo patalpos,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Kalvarijų g. 57A  506,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,V. Šopeno g. 12  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Kauno g. 6A  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,V. Šopeno g. 12  23,Negyvenamos patalpos,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Markučių g. 78  2,butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Markučių g. 78  1,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Saracėnų g. 8  4,butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Mokslo,Savivaldybės nuosavybė,Vilniaus m.,Gedvydžių g. 8  ,Mokykla,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,J. Basanavičiaus g. 18C  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Architektų g. 65  ,Negyvenamosios patalpos,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Geležinkelio g. 1  26,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Švitrigailos g. 26  20,butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Konstitucijos pr. 26A  ,požeminė perėja,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,S. Fino g. 4  ,Ūkio pastatas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Subačiaus g. 115A  86-2,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Pylimo g. 37  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Nuosavybės teisė,Vilniaus m.,Polocko g. 1  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Šiaurės g. 14  5,butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Žirmūnų g. 147  402,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,V. Šopeno g. 12  ,Neįrengta palėpė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Panerių g. 15  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Administracinė,Savivaldybės nuosavybė,Vilniaus m.,Birželio 23-iosios g. 5  ,Administracinės patalpos,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Juliaus Juzeliūno g. 37  ,kiemo rūsys,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Mokslo,Savivaldybės nuosavybė,Vilniaus m.,Šilo g. 13  2,Mokyklos patalpos,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Prekybos,Savivaldybės nuosavybė,Vilniaus m.,Konstitucijos pr. 3A  ,Prekybos patalpos su kirpykla,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Konstitucijos pr. 3A  ,Požeminė perėja,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Nuosavybės teisė,Vilniaus m.,Antakalnio g. 49  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Nuosavybės teisė,Vilniaus m.,Antakalnio g. 49  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Mindaugo g. 32  2,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Mindaugo g. 32  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Jogailos g. 16  11A,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Aguonų g. 18  16,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Aušros Vartų g. 16B  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Savanorių pr. 74  25,butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Vydūno g. 15  40,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Vydūno g. 15  39,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Žygio g. 5  4,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Administracinė,Savivaldybės nuosavybė,Vilniaus m.,L. Stuokos-Gucevičiaus g. 11  ,Administracinės patalpos su kavine,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,M. Daukšos g. 4  9,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Rinktinės g. 53  39A,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,J. Basanavičiaus g. 57  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,V. Grybo g. 33  130,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Nuosavybės teisė,Vilniaus m.,Trakų g. 2  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,V. Grybo g. 40  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Rolando Jankausko g. 3  ,Pagalbinės patalpos,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Medaus g. 10  2,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Antakalnio g. 50  52,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Užupio g. 17  13,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Dobilų g. 3  1,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Dobilų g. 3  2,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Dobilų g. 3  3,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Dvarčionių g. 1  1,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Smėlio g. 29  6A,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Šv. Stepono g. 23  37A,butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Šv. Stepono g. 36A  ,Pagalbinė patalpa,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Naugarduko g. 88  2,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Didlaukio g. 80  132A,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Aguonų g. 5  6,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Naugarduko g. 88  3,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Šaltinių g. 11  30,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Marijampolės g. 13  3,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Sandėliavimo,Savivaldybės nuosavybė,Vilniaus m.,Naugarduko g. 37  ,Sandėlis,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Liejyklos g. 4  ,Ūkio pastatas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,J. Basanavičiaus g. 6  3,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Smėlio g. 23  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,T. Ševčenkos g. 8  14,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,T. Ševčenkos g. 8  15,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Kauno g. 10  14,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Gėlių g. 7  11A,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,M. Daukšos g. 8A  38,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Kauno g. 8  8,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Sodų g. 11  20,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Sodų g. 11  18,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,V. Šopeno g. 1C  31,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Vilkpėdės g. 12  ,Nakvynės namai,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Naugarduko g. 4  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Krėvos g. 7  2,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Nuosavybės teisė,Vilniaus m.,Dilgynės g. 5  1,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Tuputiškių g. 6  2,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Sandėliavimo,Savivaldybės nuosavybė,Vilniaus m.,Eduardo Andrė g. 29A  ,Sandėlis,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Nuosavybės teisė,Vilniaus m.,Birutės g. 33A  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Garažų,Savivaldybės nuosavybė,Vilniaus m.,A. Kojelavičiaus g. 129  ,Garažas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Bernardinų g. 6B  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Pilies g. 38  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Kapsų g. 42  216,Kambarys,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Verkių g. 43  83,Kambarys,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Verkių g. 43  84,Kambarys,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Verkių g. 43  115,Kambarys,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Pylimo g. 49  10,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Žalioji a. 14B  ,Vandens bokštas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Subačiaus g. 120  62,Kambarys,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Subačiaus g. 120  147,Kambarys,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Nuosavybės teisė,Vilniaus m.,Užupio g. 9  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Subačiaus g. 120  162,Kambarys,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Subačiaus g. 120  177,Kambarys,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Jūratės g. 4  1,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Jūratės g. 4  2,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Jūratės g. 4  4,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Jūratės g. 4  6,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Trakų g. 4A  4,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Zanavykų g. 10  107,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Vilniaus g. 23  5,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Tilto g. 19  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Strielčiukų g. 4  2,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Kalvarijų g. 198  13/1,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Savanorių pr. 63  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Didlaukio g. 80  124,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Didlaukio g. 80  102,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Didlaukio g. 80  100,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Didlaukio g. 80  85,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Didlaukio g. 80  74,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Didlaukio g. 80  69,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Didlaukio g. 80  42,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,"Didlaukio g. 80  10,11",Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Didlaukio g. 80  43,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Savanorių pr. 63  9,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Brolių g. 9  48,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (įvairioms socialinėms grupėms),Savivaldybės nuosavybė,Vilniaus m.,Brolių g. 9  49,Kambarys,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Nuosavybės teisė,Vilniaus m.,Lenkų g. 12  1,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Nuosavybės teisė,Vilniaus m.,Trinapolio g. 9A  3,Komercinė patalpa,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Savivaldybės nuosavybė,Vilniaus m.,Vaidilutės g. 14  ,Ūkio pastatas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (gyvenamųjų patalpų),Savivaldybės nuosavybė,Vilniaus m.,Kuprioniškių g. 6  2,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Pagalbinio ūkio,Valstybės nuosavybė,Grigiškių m.,Pašto g. 10  ,Ūkio pastatas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Dirvonų g. 6  1,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Sandėliavimo,Nuosavybės teisė,Vilniaus m.,Latgalių g. 5  102,Sandėlis,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Bernardinų g. 6  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Malūnų g. 8  ,Negyvenamos patalpos,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Kita,Savivaldybės nuosavybė,Vilniaus m.,Polocko g. 5  ,Neįrengta pastogė,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
Gyvenamoji (butų),Savivaldybės nuosavybė,Vilniaus m.,Buivydiškių g. 14  101A,Butas,111109233,VILNIAUS MIESTO SAVIVALDYBĖ
